Crop groups,Crops,Selections,Hybrids,Mutants,Others,Total
Medicinal and Aromatic Plants,Yellow horned poppy,18.364485981308412,16.846153846153847,1,1.0,1
Medicinal and Aromatic Plants,Liquorice,18.364485981308412,16.846153846153847,1,1.0,1
Medicinal and Aromatic Plants,Sarpagandha,1.0,16.846153846153847,1,10.333333333333334,1
Medicinal and Aromatic Plants,Long pepper,1.0,16.846153846153847,1,10.333333333333334,1
Medicinal and Aromatic Plants,Isabgol,4.0,16.846153846153847,1,1.0,6
Medicinal and Aromatic Plants,Solanum laciniatum,18.364485981308412,16.846153846153847,1,1.0,1
Medicinal and Aromatic Plants,S. viarum,18.364485981308412,16.846153846153847,1,1.0,2
Medicinal and Aromatic Plants,Ashwagandha,1.0,16.846153846153847,1,1.0,2
Medicinal and Aromatic Plants,Lemon grass,1.0,16.846153846153847,1,10.333333333333334,1
Medicinal and Aromatic Plants,Palmarosa,18.364485981308412,16.846153846153847,1,2.0,2
Medicinal and Aromatic Plants,Jasminum grandiflorum,1.0,16.846153846153847,1,10.333333333333334,1
Medicinal and Aromatic Plants,Spear mint,18.364485981308412,16.846153846153847,1,1.0,1
Medicinal and Aromatic Plants,Mushakbala,18.364485981308412,16.846153846153847,1,1.0,1
Medicinal and Aromatic Plants,Vetiver,18.364485981308412,16.846153846153847,1,1.0,1
Medicinal and Aromatic Plants,Mucuna,1.0,16.846153846153847,1,10.333333333333334,1
Medicinal and Aromatic Plants,Sub-Total,24.0,16.846153846153847,2,15.0,41
Grad Total,Grand Total,655.0,219.0,26,186.0,1086
